RANK,NAME,Team,POS,VALUE
328,Mike Foltynewicz,ATL,SP,-2
329,Denard Span,TB,OF,-2
330,Chris Iannetta,COL,C,-2
331,Kole Calhoun,LAA,OF,-2
332,Joe Mauer,MIN,1B,1
333,Sean Newcomb,ATL,SP,-2
334,Victor Martinez,DET,DH,-2
335,Brandon Belt,SF,1B/OF,1
336,Melky Cabrera,FA,OF,-2
337,Tyler Flowers,ATL,C,-2
338,Michael Brantley,CLE,OF,-2
339,Nate Jones,CHW,RP,-2
340,Ben Gamel,SEA,OF,-2
341,Robinson Chirinos,TEX,C,-2
342,Carlos Gomez,TB,OF,-2
343,Nick Delmonico,CHW,OF,-2
344,Josh Reddick,HOU,OF,-2
345,Mikie Mahtook,DET,OF,-2
346,Ben Zobrist,CHC,2B/OF,-2
347,Adam Frazier,PIT,2B/OF,-3
348,Jose Pirela,SD,OF,-3
349,Alex Avila,ARI,C/1B,-3
350,Brandon Drury,NYY,2B,-3
351,Matt Wieters,WSH,C,-3
352,Josh Hader,MIL,RP,-3
353,Kevin Pillar,TOR,OF,-3
354,Nick Pivetta,PHI,SP,-3
355,Leonys Martin,DET,OF,-3
356,Brandon Maurer,KC,RP,-3
357,Michael Lorenzen,CIN,RP,-3
358,Zack Wheeler,NYM,SP,-3
359,Curtis Granderson,TOR,OF,-3
360,Jose Bautista,FA,OF,-3
361,Ervin Santana,MIN,SP,-3
362,Christian Vazquez,BOS,C,-3
363,Chris Hatcher,OAK,RP,-3
364,Matt Joyce,OAK,OF,-3
365,Anthony DeSclafani,CIN,SP,-3
366,Jason Heyward,CHC,OF,-4
367,Raimel Tapia,COL,OF,-3
368,David Dahl,COL,OF,-3
369,Gerardo Parra,COL,OF,-3
370,Lonnie Chisenhall,CLE,OF,-3
371,Harrison Bader,STL,OF,-3
372,Alex Verdugo,LAD,OF,-3
373,Tyler O’Neill,STL,OF,-3
374,Brandon Finnegan,CIN,SP,-3
375,Jose Martinez,STL,1B/OF,-3
376,Ryan McMahon,COL,3B,-3
377,Jake Bauers,TB,1B,-4
378,Mitch Moreland,BOS,1B,-4
379,Nate Karns,KC,SP,-4
380,Jedd Gyorko,STL,1B/2B/ 3B,-4
381,Daniel Norris,DET,SP,-4
382,Matt Barnes,BOS,RP,-4
383,Lucas Duda,KC,1B,-4
384,Matt Adams,WSH,1B/OF,-4
385,Wilmer Flores,NYM,1B/2B/ 3B,-4
386,CC Sabathia,NYY,SP,-4
387,Keone Kela,TEX,RP,-4
388,Dominic Smith,NYM,1B,-4
389,Alex Cobb,BAL,SP,-4
390,Josh Fields,LAD,RP,-4
391,Felix Hernandez,SEA,SP,-4
392,Brandon McCarthy,ATL,SP,-4
393,Derek Dietrich,MIA,2B/3B,-4
394,Carl Edwards Jr.,CHC,RP,-4
395,Gleyber Torres,NYY,SS,-4
396,Joe Musgrove,PIT,SP,-4
397,Willy Adames,TB,SS,-4
398,Clayton Richard,SD,SP,-4
399,Scott Kingery,PHI,2B,-4
400,Jhoulys Chacin,MIL,SP,-4
401,Franklin Barreto,OAK,2B/SS,-4
402,Mike Fiers,DET,RP,-4
403,Matt Moore,TEX,SP,-4
404,Matt Shoemaker,LAA,SP,-5
405,Chad Pinder,OAK,2B/SS/ OF,-5
406,Nick Senzel,CIN,3B,-5
407,Jose Urena,MIA,SP,-5
408,Dansby Swanson,ATL,SS,-5
409,Carlos Rodon,CHW,SP,-5
410,Steven Matz,NYM,SP,-5
411,Albert Almora Jr.,CHC,OF,-5
412,Reynaldo Lopez,CHW,SP,-5
413,Troy Tulowitzki,TOR,SS,-5
414,Jose Iglesias,DET,SS,-5
415,Derek Fisher,HOU,OF,-5
416,Ryan Tepera,TOR,RP,-5
417,Jurickson Profar,TEX,OF,-5
418,Matt Harvey,NYM,SP,-5
419,Cory Spangenberg,SD,3B/OF,-5
420,Brian Anderson,MIA,3B,-5
421,Jerad Eickhoff,PHI,SP,-5
422,Brad Peacock,HOU,SP,-5
423,Collin McHugh,HOU,SP,-5
424,Martin Maldonado,LAA,C,-5
425,Sam Dyson,SF,RP,-5
426,Chris Owings,ARI,2B/SS/ OF,-5
427,Joe Panik,SF,2B,-5
428,Chance Sisco,BAL,C,-5
429,Dustin Pedroia,BOS,2B,-5
430,Tom Koehler,LAD,SP,-5
431,Adeiny Hechavarria,TB,SS,-5
432,Francisco Mejia,CLE,C,-6
433,Brett Cecil,STL,RP,-6
434,Mallex Smith,TB,OF,-6
435,Austin Barnes,LAD,C/2B,-6
436,Jorge Soler,KC,OF,-6
437,Michael Kopech,CHW,SP,-6
438,Walker Buehler,LAD,SP,-6
439,J.C. Ramirez,LAA,SP,-6
440,Yan Gomes,CLE,C,-6
441,Jeimer Candelario,DET,3B,-6
442,Matt Davidson,CHW,1B/3B,-6
443,Tyler Skaggs,LAA,SP,-6
444,Colin Moran,PIT,3B,-6
445,Teoscar Hernandez,TOR,OF,-6
446,Yasmany Tomas,ARI,OF,-6
447,Jarrod Dyson,ARI,OF,-6
448,Keon Broxton,MIL,OF,-6
449,Tyler Glasnow,PIT,SP,-6
450,Austin Jackson,SF,OF,-6
451,Jack Flaherty,STL,SP,-6
452,Tyson Ross,SD,SP,-6
453,Erick Fedde,WSH,SP,-6
454,Jordy Mercer,PIT,SS,-6
455,Mychal Givens,BAL,RP,-6
456,Freddy Galvis,SD,SS,-6
457,Luis Valbuena,LAA,1B/3B,-6
458,Marco Gonzales,SEA,SP,-6
459,Jesse Hahn,KC,SP,-6
460,Jordan Luplow,PIT,3B,-6
461,Carson Kelly,STL,C,-6
462,Alcides Escobar,KC,SS,-6
463,Jorge Polanco,MIN,SS,-6
464,Hunter Pence,SF,OF,-6
465,Matt Kemp,LAD,OF,-6
466,Kendall Graveman,OAK,SP,-6
467,Stephen Vogt,MIL,C,-6
468,Jake Junis,KC,SP,-6
