"RANK, PLAYER",TEAM,AGE,ELIG.,POS,$10T,$12T,NAME,RANK,VALUE,POS
169. Felix Hernandez,SEA,30,SP,SP44,$4 ,$6 , Felix Hernandez,169,6.00,SP44
170. Mike Napoli,TEX,35,1B,1B19,$3 ,$5 , Mike Napoli,170,5.00,1B19
171. Melky Cabrera,CWS,32,OF,OF49,$3 ,$5 , Melky Cabrera,171,5.00,OF49
172. Jon Gray,COL,25,SP,SP45,$3 ,$5 , Jon Gray,172,5.00,SP45
173. A.J. Ramos,MIA,30,RP,RP20,$2 ,$4 , A.J. Ramos,173,4.00,RP20
174. Jacoby Ellsbury,NYY,33,OF,OF50,$2 ,$4 , Jacoby Ellsbury,174,4.00,OF50
175. David Price,BOS,31,SP,SP46,$9 ,$11 , David Price,175,11.00,SP46
176. Starlin Castro,NYY,27,2B,2B15,$2 ,$4 , Starlin Castro,176,4.00,2B15
177. Ender Inciarte,ATL,26,OF,OF51,$2 ,$4 , Ender Inciarte,177,4.00,OF51
178. Aaron Nola,PHI,23,SP,SP47,$2 ,$4 , Aaron Nola,178,4.00,SP47
179. Matt Harvey,NYM,28,SP,SP48,$2 ,$4 , Matt Harvey,179,4.00,SP48
180. Francisco Rodriguez,DET,35,RP,RP21,$2 ,$4 , Francisco Rodriguez,180,4.00,RP21
181. Salvador Perez,KC,26,C,C8,$2 ,$4 , Salvador Perez,181,4.00,C8
182. Carlos Beltran,HOU,39,OF,OF52,$2 ,$4 , Carlos Beltran,182,4.00,OF52
183. James Paxton,SEA,28,SP,SP49,$2 ,$4 , James Paxton,183,4.00,SP49
184. Michael Pineda,NYY,28,SP,SP50,$2 ,$4 , Michael Pineda,184,4.00,SP50
185. Dansby Swanson,ATL,23,SS,SS15,$2 ,$4 , Dansby Swanson,185,4.00,SS15
186. Jonathan Schoop,BAL,25,2B,2B16,$2 ,$4 , Jonathan Schoop,186,4.00,2B16
187. Tony Watson,PIT,31,RP,RP22,$2 ,$4 , Tony Watson,187,4.00,RP22
188. Jose Peraza,CIN,22,SS/OF,SS16,$2 ,$4 , Jose Peraza,188,4.00,SS16
189. Mike Moustakas,KC,28,3B,3B20,$2 ,$4 , Mike Moustakas,189,4.00,3B20
190. J.A. Happ,TOR,34,SP,SP51,$2 ,$4 , J.A. Happ,190,4.00,SP51
191. Keon Broxton,MIL,26,OF,OF54,$1 ,$3 , Keon Broxton,191,3.00,OF54
192. Logan Forsythe,LAD,30,2B,2B17,$1 ,$3 , Logan Forsythe,192,3.00,2B17
193. Jameson Taillon,PIT,25,SP,SP52,$1 ,$3 , Jameson Taillon,193,3.00,SP52
194. Javier Baez,CHC,24,3B/2B/SS,3B21,$1 ,$3 , Javier Baez,194,3.00,3B21
195. Kevin Kiermaier,TB,26,OF,OF55,$1 ,$3 , Kevin Kiermaier,195,3.00,OF55
196. Robbie Ray,ARI,25,SP,SP53,$1 ,$3 , Robbie Ray,196,3.00,SP53
197. Russell Martin,TOR,34,C,C9,$1 ,$3 , Russell Martin,197,3.00,C9
198. Sean Manaea,OAK,25,SP,SP54,$1 ,$3 , Sean Manaea,198,3.00,SP54
199. Rajai Davis,OAK,36,OF,OF56,$1 ,$3 , Rajai Davis,199,3.00,OF56
200. Yulieski Gurriel,HOU,32,3B,3B22,$1 ,$3 , Yulieski Gurriel,200,3.00,3B22
201. Adam Wainwright,STL,35,SP,SP55,$1 ,$3 , Adam Wainwright,201,3.00,SP55
202. Jim Johnson,ATL,33,RP,RP23,$1 ,$3 , Jim Johnson,202,3.00,RP23
203. Yasmany Tomas,ARI,26,OF,OF57,$1 ,$3 , Yasmany Tomas,203,3.00,OF57
204. Brian McCann,HOU,33,C,C10,$1 ,$3 , Brian McCann,204,3.00,C10
205. Brandon Crawford,SF,30,SS,SS18,$1 ,$3 , Brandon Crawford,205,3.00,SS18
206. Taijuan Walker,ARI,24,SP,SP56,$1 ,$3 , Taijuan Walker,206,3.00,SP56
207. Brett Gardner,NYY,33,OF,OF58,$1 ,$3 , Brett Gardner,207,3.00,OF58
208. Marcus Semien,OAK,26,SS,SS19,$1 ,$3 , Marcus Semien,208,3.00,SS19
209. Sonny Gray,OAK,27,SP,SP57,$1 ,$3 , Sonny Gray,209,3.00,SP57
